l1_ratio,alpha,valid_inner_folds,mean_inner_cindex,sd_inner_cindex,Repeat,Outer Fold
0.5,0.012821405547038787,3,0.716236502798416,0.029515179054097732,2,1
0.5,0.24024973099600055,3,0.6783013948512728,0.02860451592213868,2,1
0.9,0.13347207277555587,3,0.6746678171467542,0.03251028597766188,2,1
1.0,0.12012486549800028,3,0.6733968600601559,0.032620877438648783,2,1
1.0,0.0018257911440864106,3,0.6331485821489582,0.05619834931175945,2,1
1.0,0.002775040195054252,3,0.5904776460990714,0.07577567865282486,2,1
1.0,0.04974982935506669,3,0.7976297986484499,0.03840068954197546,2,2
1.0,0.07561531701178306,3,0.7971107287237209,0.046558417709910115,2,2
0.9,0.05527758817229632,3,0.7967445004858847,0.04033293657964124,2,2
1.0,0.03273206565374276,3,0.7915549677376293,0.03326932534220013,2,2
0.9,0.036368961837491956,3,0.7915522070747745,0.03610440463657522,2,2
0.9,0.08401701890198118,3,0.7888508148600261,0.04656046384656179,2,2
0.5,0.06546413130748552,3,0.7877902077048108,0.04068479353791739,2,2
0.9,0.023928348339189113,3,0.7850201323380331,0.02912778517208105,2,2
1.0,0.0215355135052702,3,0.7843566722339784,0.03202629520724183,2,2
0.5,0.09949965871013337,3,0.7842963240229333,0.04876232599294177,2,2
0.5,0.0430710270105404,3,0.7822143636915575,0.029164944682291347,2,2
1.0,0.014168929845179028,3,0.7741486806000286,0.022386724642643446,2,2
0.9,0.015743255383532256,3,0.772381814493257,0.02181595726948272,2,2
0.5,0.028337859690358055,3,0.7697100893207658,0.020039645052252596,2,2
0.5,0.15123063402356612,3,0.759258099632954,0.04553939844699734,2,2
0.9,0.010358010781094993,3,0.7519424898483812,0.014794511482244069,2,2
0.5,0.018644419405970985,3,0.7478487747964487,0.02140934305860686,2,2
1.0,0.009322209702985492,3,0.7464109542322119,0.021984835868633222,2,2
0.5,0.012266782981638628,3,0.7281084627564413,0.014059483264731255,2,2
0.5,0.2298571167344172,3,0.6979934853411988,0.026646332725776604,2,2
0.9,0.12769839818578732,3,0.6977935085079939,0.029054436055831377,2,2
1.0,0.1149285583672086,3,0.6973340836234602,0.028248760028528514,2,2
1.0,0.006133391490819314,3,0.6110846792771091,0.03581656233495534,2,2
1.0,0.0026549987607182943,3,0.6105296755064439,0.017390474854945888,2,2
1.0,0.001746811896101234,3,0.6086637784324224,0.056943790901076506,2,2
1.0,0.03113007931020605,3,0.7727355121424077,0.03176154310853955,2,3
1.0,0.04731495255678599,3,0.7721226831294915,0.03404726897917508,2,3
1.0,0.020481513464409705,3,0.7712397942912291,0.022603934051525377,2,3
0.9,0.05257216950754,3,0.7696978477323069,0.03242541477725294,2,3
0.9,0.03458897701134006,3,0.7696473161475604,0.031086958888675225,2,3
0.9,0.022757237182677456,3,0.7686591017089324,0.024041376466103253,2,3
1.0,0.013475468199506475,3,0.7650017079758998,0.01797482720716219,2,3
0.9,0.014972742443896086,3,0.7628861939897513,0.02033000921758976,2,3
0.5,0.04096302692881941,3,0.7564427917623315,0.03282630966642958,2,3
0.5,0.0622601586204121,3,0.7528895766781747,0.02863391949605623,2,3
0.5,0.09462990511357199,3,0.751137030246916,0.03030489228791292,2,3
0.5,0.02695093639901295,3,0.7506184172624234,0.024792973243837408,2,3
1.0,0.07191452078045128,3,0.7429900086257538,0.042608368481612736,2,3
0.9,0.009851064718079786,3,0.7428158003433487,0.018530578997181364,2,3
0.5,0.017731916492543614,3,0.7379286760640683,0.026090201031088327,2,3
0.9,0.07990502308939032,3,0.7349859796859292,0.044397622483295325,2,3
0.5,0.14382904156090257,3,0.7120962624724055,0.040507210036353866,2,3
1.0,0.008865958246271807,3,0.7088905358892178,0.041794765562334045,2,3
0.5,0.21860735431891393,3,0.6765932019580023,0.029066410564054214,2,3
0.9,0.12144853017717441,3,0.6734420583481385,0.02911976170385286,2,3
1.0,0.10930367715945696,3,0.6721919854113763,0.03048790701779573,2,3
1.0,0.0016613187032216805,3,0.6640547718618146,0.09290639667168712,2,3
1.0,0.002525056709343628,3,0.6402579832227763,0.02093703171935982,2,3
0.5,0.33226374064433617,3,0.6281984723752824,0.0624167925652397,2,3
0.9,0.1845909670246312,3,0.624855947097435,0.06715482469765609,2,3
1.0,0.16613187032216808,3,0.6240203157779732,0.06836463484298072,2,3
1.0,0.003837861677616045,3,0.6221423759661945,0.01689764181305358,2,3
1.0,0.035738237286924976,3,0.820131007603831,0.009950025326492525,2,4
0.9,0.03970915254102775,3,0.8195687671198103,0.008446037939615,2,4
1.0,0.054318942937599056,3,0.8189883672831959,0.00234535236507617,2,4
1.0,0.023513373701763884,3,0.8180935149628215,0.007506624222945883,2,4
0.9,0.060354381041776727,3,0.8171705740523049,0.005330353272975987,2,4
0.9,0.026125970779737644,3,0.8164958272540862,0.006431225985189061,2,4
0.5,0.04702674740352777,3,0.8106520744473399,0.00909952409475191,2,4
1.0,0.015470229782179969,3,0.8105872223237206,0.003125295048364807,2,4
0.9,0.017189144202422183,3,0.8103708846386594,0.00185374152145078,2,4
0.5,0.07147647457384995,3,0.8102739713717876,0.006667280232615034,2,4
0.5,0.030940459564359937,3,0.8077838344063317,0.004594550680516629,2,4
1.0,0.08255996338514479,3,0.8045891921459706,0.01345662829786326,2,4
0.5,0.020356756333566425,3,0.7972664743038319,0.007119654777744274,2,4
0.9,0.09173329265016088,3,0.796685505113567,0.017685112438813634,2,4
0.9,0.011309309074203567,3,0.7957932117944705,0.007706608494834652,2,4
1.0,0.010178378166783212,3,0.7954084548354735,0.009212472025803315,2,4
0.5,0.10863788587519811,3,0.7935876577750154,0.01321931322223856,2,4
0.5,0.013393386338111728,3,0.7765278279060034,0.008921714777369163,2,4
0.5,0.16511992677028958,3,0.7632019091211726,0.021495433684212993,2,4
0.5,0.25096760671453994,3,0.7060541483949182,0.008135319385686934,2,4
0.9,0.13942644817474442,3,0.7025429557202472,0.01032055688214181,2,4
1.0,0.12548380335726997,3,0.7025283454425978,0.010085579254647925,2,4
0.9,0.21191580383755687,3,0.6631746868046274,0.03687609776860852,2,4
1.0,0.1907242234538012,3,0.6630866431349672,0.03676631184901141,2,4
0.5,0.3814484469076024,3,0.6628225121259868,0.036438798673319735,2,4
1.0,0.0019072422345380118,3,0.643385129702221,0.07572212258044866,2,4
1.0,0.0028988386101502428,3,0.6378718234309128,0.04828340356158004,2,4
1.0,0.006696693169055864,3,0.6350686007982116,0.08683977629449309,2,4
1.0,0.034131589381747554,3,0.7871936137764992,0.05454891162838697,2,5
1.0,0.051876980980116776,3,0.7867680304093477,0.0591957660024427,2,5
0.9,0.03792398820194172,3,0.7854047820850902,0.052010308919649216,2,5
0.9,0.057641089977907525,3,0.7830742555089504,0.05275150056126634,2,5
1.0,0.022456306664621176,3,0.7829018048099989,0.05360532395247655,2,5
0.9,0.02495145184957908,3,0.7800795531246775,0.05187772639484234,2,5
1.0,0.014774750257753445,3,0.7768690558289135,0.05792225391108974,2,5
0.9,0.0164163891752816,3,0.7761340057597338,0.05595891657091281,2,5
0.5,0.06826317876349511,3,0.7716182799994677,0.032163230202289395,2,5
