Repeat,Fold,gene_id
3,2,ENSG00000152779.14
3,2,ENSG00000125255.7
3,2,ENSG00000118514.14
3,2,ENSG00000133063.16
3,2,ENSG00000077274.9
3,2,ENSG00000091513.16
3,2,ENSG00000125144.14
3,2,ENSG00000149294.17
3,2,ENSG00000275385.2
3,2,ENSG00000117472.10
3,2,ENSG00000133477.17
3,2,ENSG00000163735.7
3,2,ENSG00000167588.13
3,2,ENSG00000006747.15
3,2,ENSG00000119630.14
3,2,ENSG00000170323.9
3,2,ENSG00000154277.13
3,2,ENSG00000131482.10
3,2,ENSG00000133863.9
3,2,ENSG00000131400.8
3,2,ENSG00000198075.10
3,2,ENSG00000145721.12
3,3,ENSG00000164434.12
3,3,ENSG00000100170.10
3,3,ENSG00000012223.13
3,3,ENSG00000087494.16
3,3,ENSG00000174564.13
3,3,ENSG00000019505.8
3,3,ENSG00000173376.14
3,3,ENSG00000153902.14
3,3,ENSG00000185686.18
3,3,ENSG00000077274.9
3,3,ENSG00000125255.7
3,3,ENSG00000087250.9
3,3,ENSG00000125144.14
3,3,ENSG00000149294.17
3,3,ENSG00000147003.7
3,3,ENSG00000163581.14
3,3,ENSG00000119630.14
3,3,ENSG00000167588.13
3,3,ENSG00000060566.14
3,3,ENSG00000163735.7
3,3,ENSG00000198075.10
3,3,ENSG00000006747.15
3,3,ENSG00000131482.10
3,3,ENSG00000133020.4
3,4,ENSG00000164434.12
3,4,ENSG00000174358.16
3,4,ENSG00000087494.16
3,4,ENSG00000131094.4
3,4,ENSG00000152377.14
3,4,ENSG00000153902.14
3,4,ENSG00000185686.18
3,4,ENSG00000178776.5
3,4,ENSG00000135205.15
3,4,ENSG00000077274.9
3,4,ENSG00000198734.12
3,4,ENSG00000087250.9
3,4,ENSG00000125255.7
3,4,ENSG00000050628.20
3,4,ENSG00000117472.10
3,4,ENSG00000275385.2
3,4,ENSG00000163735.7
3,4,ENSG00000119125.17
3,4,ENSG00000163581.14
3,4,ENSG00000147003.7
3,4,ENSG00000131482.10
3,4,ENSG00000133477.17
3,4,ENSG00000160862.13
3,4,ENSG00000120645.12
3,4,ENSG00000170323.9
3,4,ENSG00000006747.15
3,4,ENSG00000131400.8
3,4,ENSG00000112246.10
3,4,ENSG00000142549.9
3,5,ENSG00000164434.12
3,5,ENSG00000162896.6
3,5,ENSG00000174358.16
3,5,ENSG00000124564.17
3,5,ENSG00000012223.13
3,5,ENSG00000174564.13
3,5,ENSG00000153902.14
3,5,ENSG00000131094.4
3,5,ENSG00000132465.12
3,5,ENSG00000077274.9
3,5,ENSG00000152377.14
3,5,ENSG00000135205.15
3,5,ENSG00000050628.20
3,5,ENSG00000173376.14
3,5,ENSG00000125255.7
3,5,ENSG00000275385.2
3,5,ENSG00000163735.7
3,5,ENSG00000147003.7
3,5,ENSG00000119630.14
3,5,ENSG00000119125.17
3,5,ENSG00000131482.10
3,5,ENSG00000167588.13
3,5,ENSG00000184985.16
3,5,ENSG00000120645.12
3,5,ENSG00000163710.9
3,5,ENSG00000006747.15
3,5,ENSG00000131400.8
4,1,ENSG00000164434.12
