Repeat A,Fold A,Repeat B,Fold B,Genes A,Genes B,Shared Genes,Jaccard
3,1,7,5,36,31,21,0.45652173913043476
3,1,8,1,36,29,18,0.3829787234042553
3,1,8,2,36,20,18,0.47368421052631576
3,1,8,3,36,13,10,0.2564102564102564
3,1,8,4,36,46,20,0.3225806451612903
3,1,8,5,36,16,12,0.3
3,1,9,1,36,13,11,0.2894736842105263
3,1,9,2,36,30,20,0.43478260869565216
3,1,9,3,36,42,17,0.2786885245901639
3,1,9,4,36,17,15,0.39473684210526316
3,1,9,5,36,30,19,0.40425531914893614
3,1,10,1,36,23,18,0.43902439024390244
3,1,10,2,36,19,12,0.27906976744186046
3,1,10,3,36,16,12,0.3
3,1,10,4,36,27,21,0.5
3,1,10,5,36,26,19,0.4418604651162791
3,2,3,3,32,24,14,0.3333333333333333
3,2,3,4,32,29,14,0.2978723404255319
3,2,3,5,32,27,13,0.2826086956521739
3,2,4,1,32,31,17,0.3695652173913043
3,2,4,2,32,29,16,0.35555555555555557
3,2,4,3,32,25,12,0.26666666666666666
3,2,4,4,32,67,19,0.2375
3,2,4,5,32,24,16,0.4
3,2,5,1,32,26,16,0.38095238095238093
3,2,5,2,32,31,18,0.4
3,2,5,3,32,30,20,0.47619047619047616
3,2,5,4,32,27,15,0.3409090909090909
3,2,5,5,32,29,14,0.2978723404255319
3,2,6,1,32,26,16,0.38095238095238093
3,2,6,2,32,27,15,0.3409090909090909
3,2,6,3,32,35,16,0.3137254901960784
3,2,6,4,32,29,13,0.2708333333333333
3,2,6,5,32,24,17,0.4358974358974359
3,2,7,1,32,29,17,0.38636363636363635
3,2,7,2,32,16,13,0.37142857142857144
3,2,7,3,32,66,14,0.16666666666666666
3,2,7,4,32,33,18,0.3829787234042553
3,2,7,5,32,31,16,0.3404255319148936
3,2,8,1,32,29,18,0.4186046511627907
3,2,8,2,32,20,16,0.4444444444444444
3,2,8,3,32,13,7,0.18421052631578946
3,2,8,4,32,46,20,0.3448275862068966
3,2,8,5,32,16,11,0.2972972972972973
3,2,9,1,32,13,11,0.3235294117647059
3,2,9,2,32,30,19,0.4418604651162791
3,2,9,3,32,42,14,0.23333333333333334
3,2,9,4,32,17,12,0.32432432432432434
3,2,9,5,32,30,17,0.37777777777777777
3,2,10,1,32,23,17,0.4473684210526316
3,2,10,2,32,19,9,0.21428571428571427
3,2,10,3,32,16,9,0.23076923076923078
3,2,10,4,32,27,15,0.3409090909090909
3,2,10,5,32,26,15,0.3488372093023256
3,3,3,4,24,29,12,0.2926829268292683
3,3,3,5,24,27,13,0.34210526315789475
3,3,4,1,24,31,17,0.4473684210526316
3,3,4,2,24,29,16,0.43243243243243246
3,3,4,3,24,25,15,0.4411764705882353
3,3,4,4,24,67,16,0.21333333333333335
3,3,4,5,24,24,13,0.37142857142857144
3,3,5,1,24,26,17,0.5151515151515151
3,3,5,2,24,31,13,0.30952380952380953
3,3,5,3,24,30,16,0.42105263157894735
3,3,5,4,24,27,13,0.34210526315789475
3,3,5,5,24,29,13,0.325
3,3,6,1,24,26,12,0.3157894736842105
3,3,6,2,24,27,12,0.3076923076923077
3,3,6,3,24,35,17,0.40476190476190477
3,3,6,4,24,29,15,0.39473684210526316
3,3,6,5,24,24,13,0.37142857142857144
3,3,7,1,24,29,14,0.358974358974359
3,3,7,2,24,16,7,0.21212121212121213
3,3,7,3,24,66,15,0.2
3,3,7,4,24,33,18,0.46153846153846156
3,3,7,5,24,31,17,0.4473684210526316
3,3,8,1,24,29,13,0.325
3,3,8,2,24,20,13,0.41935483870967744
3,3,8,3,24,13,7,0.23333333333333334
3,3,8,4,24,46,18,0.34615384615384615
3,3,8,5,24,16,10,0.3333333333333333
3,3,9,1,24,13,8,0.27586206896551724
3,3,9,2,24,30,14,0.35
3,3,9,3,24,42,15,0.29411764705882354
3,3,9,4,24,17,9,0.28125
3,3,9,5,24,30,16,0.42105263157894735
3,3,10,1,24,23,11,0.3055555555555556
3,3,10,2,24,19,8,0.22857142857142856
3,3,10,3,24,16,10,0.3333333333333333
3,3,10,4,24,27,14,0.3783783783783784
3,3,10,5,24,26,15,0.42857142857142855
3,4,3,5,29,27,17,0.4358974358974359
3,4,4,1,29,31,14,0.30434782608695654
3,4,4,2,29,29,18,0.45
3,4,4,3,29,25,15,0.38461538461538464
3,4,4,4,29,67,20,0.2631578947368421
3,4,4,5,29,24,13,0.325
3,4,5,1,29,26,19,0.5277777777777778
3,4,5,2,29,31,13,0.2765957446808511
3,4,5,3,29,30,17,0.40476190476190477
3,4,5,4,29,27,15,0.36585365853658536
3,4,5,5,29,29,16,0.38095238095238093
3,4,6,1,29,26,16,0.41025641025641024
3,4,6,2,29,27,14,0.3333333333333333
3,4,6,3,29,35,18,0.391304347826087
3,4,6,4,29,29,16,0.38095238095238093
3,4,6,5,29,24,15,0.39473684210526316
3,4,7,1,29,29,16,0.38095238095238093
3,4,7,2,29,16,13,0.40625
3,4,7,3,29,66,18,0.23376623376623376
3,4,7,4,29,33,18,0.4090909090909091
3,4,7,5,29,31,17,0.3953488372093023
3,4,8,1,29,29,15,0.3488372093023256
3,4,8,2,29,20,14,0.4
3,4,8,3,29,13,10,0.3125
3,4,8,4,29,46,19,0.3392857142857143
3,4,8,5,29,16,11,0.3235294117647059
