Top K,Repeat,Fold,Train N,Test N,Test Events,Clinical predictors,RNA predictors,Total predictors,Genes after prevalence filter,Nonzero clinical,Nonzero RNA genes,Best l1_ratio,Best alpha,Inner CV C-index,Outer C-index
100,6,1,423,106,32,9,100,109,16195,1,14,1.0,0.050531625792559036,0.7829861983652643,0.7852193995381063
100,6,2,423,106,32,9,100,109,16178,2,12,1.0,0.054130519022657336,0.7965194974558321,0.7605042016806722
100,6,3,423,106,32,9,100,109,16202,4,21,1.0,0.022077001304169994,0.7834302865568464,0.7887193712436431
100,6,4,423,106,32,9,100,109,16180,3,17,1.0,0.03084528567779982,0.7850695184720667,0.8196517412935324
100,6,5,424,105,31,8,100,108,16178,4,22,1.0,0.022674155394539375,0.7849824039167053,0.8656015037593985
100,7,1,423,106,32,9,100,109,16196,1,16,1.0,0.04940280961818709,0.768595105616745,0.8031890660592255
100,7,2,423,106,32,9,100,109,16194,1,13,1.0,0.03631661125711782,0.8137094114647492,0.748062015503876
100,7,3,423,106,32,9,100,109,16183,3,15,1.0,0.03620425599953798,0.7896526589327487,0.8096126924871675
100,7,4,423,106,32,9,100,109,16165,4,32,0.5,0.04407675938289836,0.7765213258543179,0.8302133217239878
100,7,5,424,105,31,8,100,108,16195,1,14,0.9,0.05377739623639207,0.779582851493033,0.776558384547849
100,8,1,423,106,32,9,100,109,16187,1,12,1.0,0.05083990839108437,0.7887262352998284,0.8185880250223414
100,8,2,423,106,32,9,100,109,16190,2,18,1.0,0.03266269490360287,0.7767499720511242,0.8448815377738041
100,8,3,423,106,32,9,100,109,16194,3,16,0.9,0.03930421505794746,0.783745104089257,0.7668738898756661
100,8,4,423,106,32,9,100,109,16178,3,11,0.9,0.054004547819329465,0.7876945319106915,0.8178209086898985
100,8,5,424,105,31,8,100,108,16186,4,23,1.0,0.02388795469346585,0.8188483493091674,0.7883283877349159
100,9,1,423,106,32,9,100,109,16170,2,15,1.0,0.033337296605052524,0.7933643755279537,0.7870967741935484
100,9,2,423,106,32,9,100,109,16171,4,27,1.0,0.022539746745301258,0.7979571857414861,0.7821510297482838
100,9,3,423,106,32,8,100,108,16194,4,21,1.0,0.021285770418505986,0.8084874160015723,0.8080264791063302
100,9,4,423,106,32,9,100,109,16209,5,22,1.0,0.02358416873395228,0.793727332536413,0.7986425339366516
100,9,5,424,105,31,9,100,109,16194,3,26,1.0,0.021716842714392264,0.7837130033107066,0.8345827086456772
100,10,1,423,106,32,9,100,109,16187,4,25,1.0,0.02165398785357482,0.8125951547927146,0.7983271375464684
100,10,2,423,106,32,9,100,109,16211,4,21,1.0,0.02098697278437072,0.792236407731585,0.8185961713764813
100,10,3,423,106,32,9,100,109,16172,1,9,1.0,0.05451271850864568,0.8200170825734755,0.7062579821200511
100,10,4,423,106,32,8,100,108,16186,4,22,1.0,0.022811618581228526,0.7740584663407116,0.8268281740690893
100,10,5,424,105,31,9,100,109,16192,2,20,1.0,0.03578536641491391,0.7940693627106873,0.7959282598158022
500,1,1,423,106,32,9,500,509,16190,1,27,1.0,0.03890440744966822,0.778862888607189,0.8207630878438332
500,1,2,423,106,32,8,500,508,16185,1,39,1.0,0.03691264231416384,0.8372993011159483,0.7238930659983291
500,1,3,423,106,32,9,500,509,16190,1,20,1.0,0.05804792465152093,0.7902310198083017,0.8087431693989071
500,1,4,423,106,32,9,500,509,16191,1,18,1.0,0.059062393804895905,0.7940986428583265,0.8030089327691584
500,1,5,424,105,31,9,500,509,16178,1,32,1.0,0.038194954336464394,0.7908552698596892,0.749390541199415
500,2,1,423,106,32,9,500,509,16196,1,26,1.0,0.03972049414962497,0.8080578305974117,0.7758462946020128
500,2,2,423,106,32,9,500,509,16207,1,16,1.0,0.058591552331641136,0.7818741407650508,0.8132956152758133
500,2,3,423,106,32,8,500,508,16175,4,56,1.0,0.02363065289041375,0.7855147815983656,0.8650623119896863
500,2,4,423,106,32,9,500,509,16179,2,63,1.0,0.025090530353413996,0.8059381995183049,0.7280740414279419
500,2,5,424,105,31,9,500,509,16186,1,33,1.0,0.03885808266732103,0.8012434657457316,0.8019002375296912
500,3,1,423,106,32,9,500,509,16201,2,52,1.0,0.026911805660964756,0.7690185226345317,0.8084929225645295
500,3,2,423,106,32,9,500,509,16183,1,35,1.0,0.03529866831963634,0.7940479707950784,0.8237781954887218
500,3,3,423,106,32,8,500,508,16187,1,38,1.0,0.03792179885444548,0.8064548366484158,0.8008298755186722
500,3,4,423,106,32,9,500,509,16170,1,33,1.0,0.040714368124619996,0.7929507845932161,0.7819687212511499
500,3,5,424,105,31,9,500,509,16187,2,32,1.0,0.037736351815904554,0.8102975168033786,0.7328420082911101
500,4,1,423,106,32,9,500,509,16182,2,54,1.0,0.028452810639244687,0.8182878708148812,0.7228745890089244
500,4,2,423,106,32,9,500,509,16193,2,42,1.0,0.034654952387226205,0.8172160575633932,0.8253119429590018
500,4,3,423,106,32,9,500,509,16189,1,33,1.0,0.03506952332132157,0.8075580344299816,0.7948939852877542
500,4,4,423,106,32,8,500,508,16177,2,41,1.0,0.03694383096867384,0.7838751225332156,0.8619495299356754
500,4,5,424,105,31,9,500,509,16180,1,28,1.0,0.04195196689070018,0.7565975228356846,0.8313622426631625
500,5,1,423,106,32,9,500,509,16194,1,40,1.0,0.03739552918897451,0.7935296658111195,0.7881773399014779
500,5,2,423,106,32,9,500,509,16188,1,18,1.0,0.05575125234725513,0.7919597509846698,0.8437923250564334
500,5,3,423,106,32,9,500,509,16181,1,34,1.0,0.039209570697204085,0.7949607643877915,0.8320199087515554
500,5,4,423,106,32,9,500,509,16177,1,15,1.0,0.062459834297410304,0.7944279015924455,0.7690217391304348
500,5,5,424,105,31,8,500,508,16196,2,35,0.9,0.042275645977513446,0.8133519812130318,0.7862595419847328
500,6,1,423,106,32,9,500,509,16195,1,20,1.0,0.05683199518477464,0.8046310975467273,0.7732101616628175
500,6,2,423,106,32,9,500,509,16178,1,18,1.0,0.05757484722028856,0.8001382956975661,0.7703081232492998
