Repeat,Fold,Clinical_1yr,Clinical_3yr,Clinical_5yr,RNA_1yr,RNA_3yr,RNA_5yr,Multi_1yr,Multi_3yr,Multi_5yr,Multi_minus_Clinical_1yr,Multi_minus_RNA_1yr,Multi_minus_Clinical_3yr,Multi_minus_RNA_3yr,Multi_minus_Clinical_5yr,Multi_minus_RNA_5yr
4,3,0.8515924053567345,0.7957456143987427,0.7109479357688308,0.7068736714830834,0.7206271649636994,0.7733711683352178,0.8085358954934345,0.7535005320825429,0.6734826510681768,-0.04305650986330001,0.10166222401035108,-0.04224508231619983,0.03287336711884348,-0.03746528470065391,-0.09988851726704095
4,4,0.8473479705942117,0.7509468240374291,0.7902083068039661,0.7469917558427729,0.7997081611432203,0.8483755170889866,0.8160584115576157,0.8011766934679642,0.837031484885329,-0.031289559036596026,0.06906665571484283,0.05022986943053509,0.0014685323247438653,0.046823178081362826,-0.01134403220365765
4,5,0.9210143517069297,0.9072504076706531,0.8772810958446298,0.7696225043184267,0.7828729867120227,0.7324397481187562,0.8827843331360093,0.9077965314825824,0.8633062652840118,-0.03823001857092034,0.11316182881758263,0.000546123811929311,0.12492354477055978,-0.01397483056061799,0.13086651716525555
5,1,0.8987450436746541,0.9344440960143885,0.8825729035707276,0.7322199111386745,0.7576353199859024,0.7601184464798403,0.8274606247725634,0.8677398177322151,0.8000077528251325,-0.0712844189020907,0.09524071363388897,-0.0667042782821734,0.1101044977463127,-0.08256515074559512,0.0398893063452922
5,2,0.9117270902544552,0.8901654343428218,0.8204606974653688,0.7727226471081645,0.7189596890619907,0.6978174805598221,0.9050192923239325,0.8107705609057657,0.8049694559409566,-0.006707797930522674,0.132296645215768,-0.07939487343705609,0.09181087184377501,-0.01549124152441217,0.10715197538113452
5,3,0.8731148162776382,0.8646934223040788,0.8590013962116614,0.670787384359098,0.7463027287450418,0.8049772111753378,0.8442383442515478,0.8747350851742222,0.8787703582616978,-0.02887647202609045,0.17345095989244974,0.010041662870143409,0.12843235642918038,0.01976896205003642,0.07379314708635998
5,4,0.8261324969322509,0.7245062326853549,0.7690719204252793,0.7608594964848093,0.670330381070021,0.6775511515138135,0.8018314789313126,0.6731735452034853,0.6660206991342531,-0.024301018000938313,0.04097198244650324,-0.05133268748186959,0.0028431641334643043,-0.10305122129102617,-0.011530452379560407
5,5,0.7510645743318486,0.7177412300844075,0.8041122639531502,0.7068458207047066,0.7451449661822984,0.830723945009058,0.794899602557497,0.8073538805410003,0.8759639502503909,0.04383502822564844,0.08805378185279045,0.08961265045659284,0.062208914358701906,0.0718516862972407,0.04524000524133287
6,1,0.8641290325042538,0.8409198797575604,0.8984401223369892,0.656466131976044,0.7181187753987506,0.8036657617494194,0.7667723924857852,0.7935443268332328,0.8603177902402297,-0.09735664001846855,0.11030626050974124,-0.0473755529243276,0.07542555143448226,-0.038122332096759526,0.0566520284908103
6,2,0.8242871005874151,0.7941054316610101,0.7355552740771872,0.797062868221783,0.8006665358220957,0.8002722265994893,0.8419435473707733,0.8249271289978639,0.8055022245192518,0.017656446783358204,0.0448806791489903,0.030821697336853804,0.02426059317576823,0.06994695044206456,0.00522999791976253
6,3,0.8727659850455434,0.7844738983856696,0.7707215213203057,0.7234302495232079,0.691197700150224,0.74756071787912,0.882708855782743,0.7820328789688311,0.8228908355927815,0.009942870737199683,0.15927860625953516,-0.002441019416838497,0.09083517881860714,0.05216931427247584,0.07533011771366149
6,4,0.8193393772021768,0.8216527536451478,0.8426118759417682,0.7512306379379674,0.8042765807789245,0.8037231416508479,0.8655156630857789,0.8570244061053325,0.810160017616208,0.04617628588360212,0.11428502514781147,0.0353716524601847,0.05274782532640798,-0.03245185832556019,0.006436875965360134
6,5,0.8866993047470938,0.8468204954334669,0.7853038953677389,0.772284455327036,0.7516873389452357,0.6675907877080045,0.8959029692852426,0.8836799883838885,0.7901109148775081,0.009203664538148804,0.12361851395820656,0.03685949295042157,0.13199264943865285,0.004807019509769139,0.12252012716950356
7,1,0.8881339696462299,0.825336079615364,0.8686316400047627,0.7541651434370035,0.7426320112627169,0.7987511423923611,0.8766858182193236,0.8291316175249747,0.8455005394255226,-0.011448151426906361,0.1225206747823201,0.0037955379096106245,0.08649960626225772,-0.02313110057924006,0.0467493970331615
7,2,0.776969751871085,0.8090206679062297,0.8279500465960647,0.7060306527432525,0.7635628683868797,0.7631334725972891,0.7758681900375766,0.784915193237754,0.7175833886059266,-0.001101561833508402,0.06983753729432407,-0.02410547466847568,0.02135232485087435,-0.11036665799013812,-0.04555008399136251
7,3,0.8748812744250314,0.8407583391159441,0.7642096645117751,0.7357241324389443,0.6078705348436613,0.6620252565909971,0.8826009161603797,0.7536104356558838,0.770465781114002,0.007719641735348337,0.14687678372143542,-0.0871479034600603,0.14573990081222254,0.006256116602226913,0.1084405245230049
7,4,0.9390571181685846,0.8696426196501558,0.845717819875793,0.688637006143905,0.7269414516921157,0.7266929951472155,0.9119656793209567,0.8594142473426064,0.8425665249298178,-0.02709143884762788,0.22332867317705174,-0.01022837230754936,0.13247279565049075,-0.0031512949459752138,0.11587352978260224
7,5,0.8491306302746476,0.7668551508520496,0.7966059354739391,0.7228352989501883,0.7874791640940599,0.786810765996459,0.778048642890811,0.8203621799005605,0.8281650433078597,-0.07108198738383664,0.05521334394062272,0.0535070290485109,0.03288301580650055,0.031559107833920574,0.04135427731140062
8,1,0.9421879535832642,0.8408226692957582,0.8729078994371838,0.7832425878773664,0.7098184543826893,0.7443325115995119,0.8908183203651545,0.7712841212324433,0.829189277830734,-0.05136963321810972,0.10757573248778807,-0.06953854806331494,0.061465666849753964,-0.04371862160644979,0.08485676623122218
8,2,0.8451536378139539,0.8664598761640326,0.8369955080522816,0.7966026089492553,0.7198899933666978,0.6969277948776037,0.9226716245428098,0.8739150251260126,0.802719586909063,0.0775179867288559,0.12606901559355455,0.007455148961979963,0.1540250317593148,-0.034275921143218646,0.10579179203145928
8,3,0.7935260837783216,0.7518781580901823,0.8358560825267376,0.6268762353040314,0.7033384262189787,0.7647164553393299,0.7102544081918505,0.7596522788506674,0.8146925445551946,-0.08327167558647108,0.08337817288781912,0.007774120760485115,0.056313852631688754,-0.021163537971543023,0.049976089215864716
