Repeat,Fold,AUC_1yr,AUC_3yr,AUC_5yr,Model
10,3,0.7456245646780436,0.729734748875825,0.7655565052174661,RNA
10,4,0.6803362775998056,0.7568920444815392,0.7529338109319561,RNA
10,5,0.8344353609245829,0.7461745682146577,0.7364647000573318,RNA
1,1,0.844069382949574,0.8255532527682519,0.8600153110280521,Multimodal
1,2,0.7562289425174586,0.7617105519399381,0.7723232111669154,Multimodal
1,3,0.8959325303763587,0.8307773434746245,0.7609539344536129,Multimodal
1,4,0.8523665389079783,0.8577397392613504,0.825475283614655,Multimodal
1,5,0.7804904214031828,0.7756562117874308,0.7324468714584467,Multimodal
2,1,0.8564636957119175,0.8318211122826581,0.7260195934902283,Multimodal
2,2,0.8596724722286685,0.8733219151059485,0.8882233912319524,Multimodal
2,3,0.898539647805683,0.8946587193908131,0.9086521436432845,Multimodal
2,4,0.8118093986024023,0.7312467641768957,0.7905085761326545,Multimodal
2,5,0.8222647013208076,0.8378275233249673,0.8150676951708211,Multimodal
3,1,0.8496190223456802,0.8412869251062669,0.8426198218625015,Multimodal
3,2,0.8621776946091196,0.8130789459665243,0.8606299100524516,Multimodal
3,3,0.8243665569755961,0.813858306428924,0.7229983768959023,Multimodal
3,4,0.8676801007121108,0.8268918065715146,0.828089501404773,Multimodal
3,5,0.6766882510025558,0.7061679199652084,0.740462703659843,Multimodal
4,1,0.7617557865377672,0.7145130391888214,0.8174518073183148,Multimodal
4,2,0.85908485776614,0.8428510275203714,0.8618005292834184,Multimodal
4,3,0.8085358954934345,0.7535005320825429,0.6734826510681768,Multimodal
4,4,0.8160584115576157,0.8011766934679642,0.837031484885329,Multimodal
4,5,0.8827843331360093,0.9077965314825824,0.8633062652840118,Multimodal
5,1,0.8274606247725634,0.8677398177322151,0.8000077528251325,Multimodal
5,2,0.9050192923239325,0.8107705609057657,0.8049694559409566,Multimodal
5,3,0.8442383442515478,0.8747350851742222,0.8787703582616978,Multimodal
5,4,0.8018314789313126,0.6731735452034853,0.6660206991342531,Multimodal
5,5,0.794899602557497,0.8073538805410003,0.8759639502503909,Multimodal
6,1,0.7667723924857852,0.7935443268332328,0.8603177902402297,Multimodal
6,2,0.8419435473707733,0.8249271289978639,0.8055022245192518,Multimodal
6,3,0.882708855782743,0.7820328789688311,0.8228908355927815,Multimodal
6,4,0.8655156630857789,0.8570244061053325,0.810160017616208,Multimodal
6,5,0.8959029692852426,0.8836799883838885,0.7901109148775081,Multimodal
7,1,0.8766858182193236,0.8291316175249747,0.8455005394255226,Multimodal
7,2,0.7758681900375766,0.784915193237754,0.7175833886059266,Multimodal
7,3,0.8826009161603797,0.7536104356558838,0.770465781114002,Multimodal
7,4,0.9119656793209567,0.8594142473426064,0.8425665249298178,Multimodal
7,5,0.778048642890811,0.8203621799005605,0.8281650433078597,Multimodal
8,1,0.8908183203651545,0.7712841212324433,0.829189277830734,Multimodal
8,2,0.9226716245428098,0.8739150251260126,0.802719586909063,Multimodal
8,3,0.7102544081918505,0.7596522788506674,0.8146925445551946,Multimodal
8,4,0.8528085542947894,0.8517306361990622,0.8497865782839641,Multimodal
8,5,0.7984778734795038,0.8092468031217546,0.7749800041290249,Multimodal
9,1,0.8059760501598919,0.8090331716449263,0.8210156338152315,Multimodal
9,2,0.7362444169624479,0.8141203956481834,0.8124282116210582,Multimodal
9,3,0.8675912096871153,0.8651022728509812,0.8199969354723872,Multimodal
9,4,0.8287205475335696,0.7479471694427906,0.7696757852794316,Multimodal
9,5,0.8944464067390603,0.8410758885885147,0.7909395055842198,Multimodal
10,1,0.8015761248701737,0.8038726317003874,0.8473140496189034,Multimodal
10,2,0.8400037278052044,0.8539424382412899,0.7945168445800261,Multimodal
10,3,0.76388098679821,0.7359882487546595,0.7022942747350622,Multimodal
10,4,0.8756230334576514,0.8737702503772063,0.9043554773332414,Multimodal
10,5,0.8942227089887,0.7863330655578087,0.7322185723995623,Multimodal
