Model,Repeat,Horizon,Horizon_days,Bin,N,Mean_predicted_survival,Observed_KM_survival,Calibration_error,Absolute_calibration_error
Clinical,8,1yr,365.0,4,106,0.9740954784793023,0.9691532258064509,0.0049422526728514216,0.0049422526728514216
Clinical,9,1yr,365.0,0,106,0.4940593480831982,0.47856501073018776,0.015494337353010423,0.015494337353010423
Clinical,9,1yr,365.0,1,106,0.849769454548703,0.844174783794481,0.005594670754222042,0.005594670754222042
Clinical,9,1yr,365.0,2,105,0.9298324648722615,0.9383487153277745,-0.008516250455513075,0.008516250455513075
Clinical,9,1yr,365.0,3,106,0.9623601637296696,0.9900990099009903,-0.02773884617132072,0.02773884617132072
Clinical,9,1yr,365.0,4,106,0.9725346865763818,0.9693622287760697,0.0031724578003120563,0.0031724578003120563
Clinical,10,1yr,365.0,0,106,0.48924102381980017,0.4755277407819044,0.013713283037895763,0.013713283037895763
Clinical,10,1yr,365.0,1,106,0.8487265830380365,0.8571684436934871,-0.008441860655450606,0.008441860655450606
Clinical,10,1yr,365.0,2,105,0.9326095593635955,0.918191246194762,0.014418313168833463,0.014418313168833463
Clinical,10,1yr,365.0,3,107,0.9618940243326954,1.0,-0.03810597566730456,0.03810597566730456
Clinical,10,1yr,365.0,4,105,0.9732963000119738,0.9684020739076677,0.00489422610430601,0.00489422610430601
Clinical,1,3yr,1095.0,0,106,0.2603856743136405,0.2614528500055728,-0.001067175691932265,0.001067175691932265
Clinical,1,3yr,1095.0,1,106,0.7065979743197186,0.7429367729189919,-0.03633879859927325,0.03633879859927325
Clinical,1,3yr,1095.0,2,106,0.8634672649038149,0.8291433986082161,0.034323866295598804,0.034323866295598804
Clinical,1,3yr,1095.0,3,106,0.9211221423956104,0.9286525346794969,-0.007530392283886522,0.007530392283886522
Clinical,1,3yr,1095.0,4,105,0.9430325387456809,0.9380820697383536,0.004950469007327318,0.004950469007327318
Clinical,2,3yr,1095.0,0,106,0.2570558181742345,0.27785810976632486,-0.02080229159209035,0.02080229159209035
Clinical,2,3yr,1095.0,1,106,0.707620299291288,0.7732248848031051,-0.06560458551181714,0.06560458551181714
Clinical,2,3yr,1095.0,2,105,0.8628689157289966,0.7981931926938428,0.06467572303515379,0.06467572303515379
Clinical,2,3yr,1095.0,3,106,0.9227248328905646,0.9312160761145725,-0.00849124322400785,0.00849124322400785
Clinical,2,3yr,1095.0,4,106,0.9438298499299856,0.9234066606350758,0.020423189294909827,0.020423189294909827
Clinical,3,3yr,1095.0,0,106,0.25314229460793275,0.2671712593906969,-0.014028964782764164,0.014028964782764164
Clinical,3,3yr,1095.0,1,106,0.7127120209141388,0.7418113423455612,-0.029099321431422465,0.029099321431422465
Clinical,3,3yr,1095.0,2,105,0.8649857544588896,0.8282844953034315,0.03670125915545808,0.03670125915545808
Clinical,3,3yr,1095.0,3,106,0.919918158801447,0.9437848438439812,-0.023866685042534197,0.023866685042534197
Clinical,3,3yr,1095.0,4,106,0.9446918011456621,0.9218101537856002,0.02288164736006193,0.02288164736006193
Clinical,4,3yr,1095.0,0,106,0.2602603641141354,0.2671712593906969,-0.006910895276561524,0.006910895276561524
Clinical,4,3yr,1095.0,1,106,0.7074439079682305,0.7257511824263734,-0.01830727445814284,0.01830727445814284
Clinical,4,3yr,1095.0,2,105,0.8613112066942773,0.8538627112861564,0.00744849540812087,0.00744849540812087
Clinical,4,3yr,1095.0,3,106,0.9200200340050328,0.9386601570730082,-0.018640123067975356,0.018640123067975356
Clinical,4,3yr,1095.0,4,106,0.9441221991728623,0.9113305123070217,0.032791686865840664,0.032791686865840664
Clinical,5,3yr,1095.0,0,106,0.2571473225635808,0.2634164200695304,-0.006269097505949617,0.006269097505949617
Clinical,5,3yr,1095.0,1,107,0.7062956147578122,0.7323417311772952,-0.026046116419482956,0.026046116419482956
Clinical,5,3yr,1095.0,2,104,0.8617310624322825,0.8435012842005478,0.01822977823173466,0.01822977823173466
Clinical,5,3yr,1095.0,3,108,0.919487406545212,0.9631555356342449,-0.04366812908903295,0.04366812908903295
Clinical,5,3yr,1095.0,4,104,0.9450173762108072,0.8986781115434417,0.04633926466736549,0.04633926466736549
Clinical,6,3yr,1095.0,0,106,0.25700486323412663,0.2634164200695304,-0.006411556835403787,0.006411556835403787
Clinical,6,3yr,1095.0,1,106,0.7130761856905012,0.7619949262504047,-0.04891874055990342,0.04891874055990342
Clinical,6,3yr,1095.0,2,105,0.8634354855181758,0.8317519895893012,0.03168349592887465,0.03168349592887465
Clinical,6,3yr,1095.0,3,106,0.920030525903466,0.9022188968327942,0.017811629070671797,0.017811629070671797
Clinical,6,3yr,1095.0,4,106,0.9438429747226111,0.9414240801805955,0.002418894542015604,0.002418894542015604
Clinical,7,3yr,1095.0,0,106,0.25944192473056066,0.26730286059773195,-0.007860935867171293,0.007860935867171293
Clinical,7,3yr,1095.0,1,106,0.7109299366539421,0.7029913670076022,0.007938569646339877,0.007938569646339877
Clinical,7,3yr,1095.0,2,105,0.8604227447499859,0.8390387536664748,0.021383991083511078,0.021383991083511078
Clinical,7,3yr,1095.0,3,107,0.9223031878844932,0.9607273451359472,-0.03842415725145398,0.03842415725145398
Clinical,7,3yr,1095.0,4,105,0.9452909212519801,0.9278409580098337,0.017449963242146427,0.017449963242146427
Clinical,8,3yr,1095.0,0,106,0.25278332069948506,0.26851914324896664,-0.015735822549481582,0.015735822549481582
Clinical,8,3yr,1095.0,1,106,0.7054135943364497,0.7436195559459066,-0.038205961609456884,0.038205961609456884
Clinical,8,3yr,1095.0,2,105,0.8649682309534316,0.8437504610187878,0.02121776993464375,0.02121776993464375
Clinical,8,3yr,1095.0,3,106,0.9242274453811787,0.8829777170016191,0.04124972837955965,0.04124972837955965
Clinical,8,3yr,1095.0,4,106,0.9466709264586398,0.953400239493642,-0.006729313035002238,0.006729313035002238
Clinical,9,3yr,1095.0,0,107,0.2610313086304601,0.27476102205999575,-0.013729713429535662,0.013729713429535662
Clinical,9,3yr,1095.0,1,105,0.7097197440960871,0.7218376973360543,-0.012117953239967227,0.012117953239967227
Clinical,9,3yr,1095.0,2,105,0.8593507244439972,0.8758587317910815,-0.016508007347084352,0.016508007347084352
Clinical,9,3yr,1095.0,3,106,0.920203888820665,0.9280973774460924,-0.007893488625427492,0.007893488625427492
Clinical,9,3yr,1095.0,4,106,0.944163940571845,0.9013395984700658,0.04282434210177921,0.04282434210177921
Clinical,10,3yr,1095.0,0,106,0.257300467825746,0.25435204739497214,0.002948420430773868,0.002948420430773868
Clinical,10,3yr,1095.0,1,106,0.7057738115500645,0.7448589251017879,-0.039085113551723394,0.039085113551723394
Clinical,10,3yr,1095.0,2,105,0.8625761757515245,0.8444065242476541,0.0181696515038704,0.0181696515038704
Clinical,10,3yr,1095.0,3,107,0.9206723391787331,0.9247381173980015,-0.004065778219268346,0.004065778219268346
Clinical,10,3yr,1095.0,4,105,0.9445982433126181,0.9245064257692405,0.020091817543377632,0.020091817543377632
Clinical,1,5yr,1825.0,0,106,0.15180711609720587,0.1430702094037182,0.008736906693487673,0.008736906693487673
Clinical,1,5yr,1825.0,1,106,0.5912314068315166,0.6392514094116206,-0.04802000258010397,0.04802000258010397
Clinical,1,5yr,1825.0,2,105,0.7990833229144575,0.7767415265765003,0.022341796337957187,0.022341796337957187
Clinical,1,5yr,1825.0,3,106,0.8823477765721051,0.8518553432933078,0.03049243327879725,0.03049243327879725
Clinical,1,5yr,1825.0,4,106,0.9148509034301645,0.8972735898350636,0.017577313595100952,0.017577313595100952
Clinical,2,5yr,1825.0,0,106,0.14845160868737156,0.14232375613726408,0.0061278525501074765,0.0061278525501074765
Clinical,2,5yr,1825.0,1,106,0.5924231782539582,0.645688534609641,-0.05326535635568286,0.05326535635568286
Clinical,2,5yr,1825.0,2,105,0.7992705596419484,0.76938080888012,0.029889750761828426,0.029889750761828426
Clinical,2,5yr,1825.0,3,107,0.8854622822023274,0.8949495521907972,-0.009487269988469826,0.009487269988469826
Clinical,2,5yr,1825.0,4,105,0.9156368184964694,0.8600491679013127,0.05558765059515669,0.05558765059515669
Clinical,3,5yr,1825.0,0,106,0.1452993591084823,0.13499179421845736,0.010307564890024934,0.010307564890024934
Clinical,3,5yr,1825.0,1,107,0.6019021962385712,0.6408910737854874,-0.038988877546916156,0.038988877546916156
Clinical,3,5yr,1825.0,2,104,0.8025075615486829,0.765306690297436,0.037200871251246825,0.037200871251246825
Clinical,3,5yr,1825.0,3,109,0.8817041898364424,0.8960153730713452,-0.014311183234902769,0.014311183234902769
Clinical,3,5yr,1825.0,4,103,0.9177192437627141,0.885192897007501,0.03252634675521304,0.03252634675521304
Clinical,4,5yr,1825.0,0,106,0.15181218856471837,0.12789755425606553,0.023914634308652843,0.023914634308652843
Clinical,4,5yr,1825.0,1,106,0.5904216382750639,0.6067991849254865,-0.01637754665042257,0.01637754665042257
Clinical,4,5yr,1825.0,2,105,0.7989023448466743,0.8153773485638204,-0.016475003717146053,0.016475003717146053
Clinical,4,5yr,1825.0,3,107,0.8809292419535077,0.8732862303852618,0.007643011568245983,0.007643011568245983
Clinical,4,5yr,1825.0,4,105,0.9161731275521005,0.8843914018755771,0.031781725676523376,0.031781725676523376
Clinical,5,5yr,1825.0,0,106,0.1475099036962496,0.13943245092402212,0.00807745277222749,0.00807745277222749
Clinical,5,5yr,1825.0,1,106,0.5885645900621824,0.6518436807403962,-0.0632790906782138,0.0632790906782138
Clinical,5,5yr,1825.0,2,106,0.7993118295799573,0.7537037941312474,0.04560803544870984,0.04560803544870984
Clinical,5,5yr,1825.0,3,105,0.8808703586683775,0.872012644640182,0.008857714028195462,0.008857714028195462
Clinical,5,5yr,1825.0,4,106,0.9153183459105415,0.8993266996540668,0.015991646256474756,0.015991646256474756
Clinical,6,5yr,1825.0,0,106,0.14914794351514024,0.13943245092402212,0.009715492591118119,0.009715492591118119
Clinical,6,5yr,1825.0,1,106,0.601149250033677,0.6239682513463184,-0.022819001312641363,0.022819001312641363
Clinical,6,5yr,1825.0,2,105,0.7985758843733904,0.7998478159027211,-0.0012719315293306943,0.0012719315293306943
Clinical,6,5yr,1825.0,3,106,0.8810990209317635,0.876382505004814,0.004716515926949549,0.004716515926949549
Clinical,6,5yr,1825.0,4,106,0.9157635196176247,0.873849335415319,0.04191418420230575,0.04191418420230575
Clinical,7,5yr,1825.0,0,107,0.15459177952494912,0.13273956450128627,0.021852215023662858,0.021852215023662858
Clinical,7,5yr,1825.0,1,105,0.5967034693211996,0.6235137929964739,-0.02681032367527436,0.02681032367527436
Clinical,7,5yr,1825.0,2,106,0.7982477113122939,0.7884797743710913,0.009767936941202593,0.009767936941202593
Clinical,7,5yr,1825.0,3,105,0.8852938124527824,0.9084867923586135,-0.023192979905831135,0.023192979905831135
Clinical,7,5yr,1825.0,4,106,0.9167575097691634,0.8577629406656767,0.05899456910348666,0.05899456910348666
Clinical,8,5yr,1825.0,0,106,0.1441103527519056,0.13496993972831658,0.009140413023589006,0.009140413023589006
Clinical,8,5yr,1825.0,1,106,0.5882900342169576,0.6529216875135905,-0.0646316532966329,0.0646316532966329
Clinical,8,5yr,1825.0,2,105,0.8040432327209812,0.7937157308988266,0.010327501822154583,0.010327501822154583
Clinical,8,5yr,1825.0,3,107,0.8875226248539418,0.8150894381870564,0.07243318666688547,0.07243318666688547
Clinical,8,5yr,1825.0,4,105,0.9204492275273047,0.8990400730435558,0.021409154483748916,0.021409154483748916
Clinical,9,5yr,1825.0,0,106,0.15016854839996419,0.14632180507198453,0.003846743327979657,0.003846743327979657
Clinical,9,5yr,1825.0,1,106,0.59185890394954,0.6179733193347652,-0.026114415385225187,0.026114415385225187
Clinical,9,5yr,1825.0,2,105,0.797046590827577,0.8006032251042265,-0.0035566342766495396,0.0035566342766495396
Clinical,9,5yr,1825.0,3,106,0.8811790043424635,0.8666160558088305,0.014562948533633047,0.014562948533633047
Clinical,9,5yr,1825.0,4,106,0.9152889451182845,0.8771661940350861,0.0381227510831984,0.0381227510831984
Clinical,10,5yr,1825.0,0,106,0.14854535749355038,0.1366845308856758,0.011860826607874575,0.011860826607874575
Clinical,10,5yr,1825.0,1,106,0.5897166782633863,0.6364749102392605,-0.046758231975874254,0.046758231975874254
Clinical,10,5yr,1825.0,2,105,0.7995523318878772,0.7901119349729298,0.009440396914947469,0.009440396914947469
Clinical,10,5yr,1825.0,3,106,0.881331141647058,0.8433411617352541,0.03798997991180386,0.03798997991180386
Clinical,10,5yr,1825.0,4,106,0.9162012197576037,0.9044084599916481,0.011792759765955618,0.011792759765955618
RNA,1,1yr,365.0,0,106,0.6611901999207447,0.6921707428117269,-0.030980542890982177,0.030980542890982177
RNA,1,1yr,365.0,1,106,0.8207740473288454,0.7919699292103964,0.028804118118448963,0.028804118118448963
RNA,1,1yr,365.0,2,105,0.8786221785549342,0.8604470817187204,0.018175096836213767,0.018175096836213767
RNA,1,1yr,365.0,3,106,0.9187152783150272,0.8806048706863466,0.038110407628680565,0.038110407628680565
RNA,1,1yr,365.0,4,106,0.9491250283866688,1.0,-0.05087497161333121,0.05087497161333121
RNA,2,1yr,365.0,0,106,0.6968319127895665,0.6956410431574841,0.0011908696320823697,0.0011908696320823697
RNA,2,1yr,365.0,1,106,0.8223208411468489,0.7321863201421146,0.09013452100473429,0.09013452100473429
RNA,2,1yr,365.0,2,105,0.8701992772345849,0.8910743438652704,-0.0208750666306855,0.0208750666306855
RNA,2,1yr,365.0,3,106,0.9005691269128422,0.9169995912644606,-0.016430464351618435,0.016430464351618435
RNA,2,1yr,365.0,4,106,0.9325066626586263,0.9799878714372352,-0.04748120877860895,0.04748120877860895
RNA,3,1yr,365.0,0,106,0.6545952760678803,0.7279833406136828,-0.07338806454580249,0.07338806454580249
RNA,3,1yr,365.0,1,106,0.8159988141170371,0.7604176444323806,0.05558116968465654,0.05558116968465654
RNA,3,1yr,365.0,2,105,0.8812253708845912,0.8467017847276084,0.03452358615698281,0.03452358615698281
RNA,3,1yr,365.0,3,106,0.9166692020532541,0.9018562895017368,0.014812912551517288,0.014812912551517288
RNA,3,1yr,365.0,4,106,0.9482039500177075,0.9896907216494844,-0.04148677163177683,0.04148677163177683
RNA,4,1yr,365.0,0,106,0.6436704631536954,0.6887294873899801,-0.04505902423628472,0.04505902423628472
RNA,4,1yr,365.0,1,106,0.8174379161317559,0.7600036446936389,0.05743427143811697,0.05743427143811697
RNA,4,1yr,365.0,2,105,0.8755272268319189,0.8776256460193838,-0.002098419187464895,0.002098419187464895
RNA,4,1yr,365.0,3,106,0.9163872263508993,0.9310271840441675,-0.014639957693268202,0.014639957693268202
RNA,4,1yr,365.0,4,106,0.9529703105572481,0.9598292709705752,-0.00685896041332712,0.00685896041332712
RNA,5,1yr,365.0,0,106,0.6572890113051323,0.7144847713772089,-0.05719576007207661,0.05719576007207661
RNA,5,1yr,365.0,1,106,0.823161019178554,0.7184974341811486,0.10466358499740536,0.10466358499740536
RNA,5,1yr,365.0,2,105,0.8719724730364183,0.8685314685314679,0.00344100450495044,0.00344100450495044
RNA,5,1yr,365.0,3,106,0.9029479920210121,0.9421917933687485,-0.03924380134773642,0.03924380134773642
RNA,5,1yr,365.0,4,106,0.9411667150791875,0.9691480017566971,-0.027981286677509654,0.027981286677509654
RNA,6,1yr,365.0,0,106,0.6291022417638302,0.7021565575364942,-0.07305431577266397,0.07305431577266397
RNA,6,1yr,365.0,1,106,0.8129823206845408,0.7504435350860772,0.0625387855984636,0.0625387855984636
RNA,6,1yr,365.0,2,105,0.8799069250523605,0.8864790913628126,-0.006572166310452099,0.006572166310452099
RNA,6,1yr,365.0,3,106,0.9144885227545272,0.909502640377262,0.004985882377265161,0.004985882377265161
RNA,6,1yr,365.0,4,106,0.9518829003433674,0.9704624447717225,-0.018579544428355077,0.018579544428355077
RNA,7,1yr,365.0,0,106,0.6539965522398666,0.7073006463945165,-0.05330409415464987,0.05330409415464987
RNA,7,1yr,365.0,1,106,0.8137185618309574,0.7819182487024345,0.03180031312852283,0.03180031312852283
RNA,7,1yr,365.0,2,105,0.874336392091513,0.8181728882931343,0.056163503798378756,0.056163503798378756
RNA,7,1yr,365.0,3,106,0.910527790803951,0.9492495374653095,-0.038721746661358525,0.038721746661358525
RNA,7,1yr,365.0,4,106,0.952902246023634,0.9599366821443638,-0.007034436120729737,0.007034436120729737
RNA,8,1yr,365.0,0,106,0.6712425058973035,0.7045364521223119,-0.033293946225008364,0.033293946225008364
RNA,8,1yr,365.0,1,106,0.809559894854249,0.7852456121548058,0.024314282699443135,0.024314282699443135
RNA,8,1yr,365.0,2,105,0.8698421923923751,0.8393104444035485,0.03053174798882663,0.03053174798882663
RNA,8,1yr,365.0,3,106,0.9103670269656553,0.9099827654443433,0.00038426152131199043,0.00038426152131199043
RNA,8,1yr,365.0,4,106,0.9502705743840943,0.9797979797979799,-0.029527405413885544,0.029527405413885544
RNA,9,1yr,365.0,0,106,0.6388325121432463,0.6581007143918356,-0.019268202248589272,0.019268202248589272
RNA,9,1yr,365.0,1,106,0.8132101787932741,0.8135686096429109,-0.00035843084963682603,0.00035843084963682603
RNA,9,1yr,365.0,2,105,0.8815702783932496,0.8577797072300151,0.023790571163234575,0.023790571163234575
RNA,9,1yr,365.0,3,106,0.9196781185017492,0.8930979666708964,0.026580151830852827,0.026580151830852827
RNA,9,1yr,365.0,4,106,0.9494345435294289,1.0,-0.05056545647057109,0.05056545647057109
RNA,10,1yr,365.0,0,106,0.6461452153810994,0.7140586678716208,-0.06791345249052139,0.06791345249052139
RNA,10,1yr,365.0,1,106,0.8200351303880877,0.7268808513504412,0.0931542790376465,0.0931542790376465
RNA,10,1yr,365.0,2,105,0.8789083015492934,0.8789737664663562,-6.546491706271862e-05,6.546491706271862e-05
RNA,10,1yr,365.0,3,106,0.9159940623185004,0.930134259380917,-0.014140197062416537,0.014140197062416537
RNA,10,1yr,365.0,4,106,0.9473190205687847,0.9698762652323035,-0.022557244663518827,0.022557244663518827
RNA,1,3yr,1095.0,0,106,0.4607464983260518,0.4648767973175473,-0.0041302989914954735,0.0041302989914954735
RNA,1,3yr,1095.0,1,106,0.6858035168369687,0.6651052288455152,0.020698287991453568,0.020698287991453568
RNA,1,3yr,1095.0,2,105,0.7837714339700901,0.7710233826056935,0.012748051364396606,0.012748051364396606
RNA,1,3yr,1095.0,3,106,0.8494001181183138,0.8264836252067932,0.022916492911520647,0.022916492911520647
RNA,1,3yr,1095.0,4,106,0.9040373289546263,0.9698156682027649,-0.06577833924813858,0.06577833924813858
RNA,2,3yr,1095.0,0,106,0.512198907818617,0.49469683269862785,0.017502075119989136,0.017502075119989136
RNA,2,3yr,1095.0,1,106,0.6911191555375789,0.5613964709309538,0.12972268460662506,0.12972268460662506
RNA,2,3yr,1095.0,2,105,0.7691782772159177,0.8363646230832216,-0.06718634586730388,0.06718634586730388
RNA,2,3yr,1095.0,3,106,0.8217483045604846,0.8564051253291399,-0.03465682076865528,0.03465682076865528
RNA,2,3yr,1095.0,4,106,0.8774948671384849,0.9319775710002238,-0.054482703861738924,0.054482703861738924
RNA,3,3yr,1095.0,0,106,0.4563031837775123,0.4711921413468867,-0.014888957569374417,0.014888957569374417
RNA,3,3yr,1095.0,1,106,0.6777611320105397,0.6558022452286305,0.02195888678190916,0.02195888678190916
RNA,3,3yr,1095.0,2,105,0.7843646678470225,0.7668818887960125,0.017482779051010033,0.017482779051010033
