l1_ratio,alpha,valid_inner_folds,mean_inner_cindex,sd_inner_cindex,Outer Fold
0.9,0.08414311260004068,3,0.7484496036287008,0.07016195508173403,2
0.5,0.01867240116278402,3,0.7481697696185985,0.018802493067247784,2
0.5,0.012285193109130213,3,0.7268855552917773,0.023122648086442495,2
0.5,0.15145760268007324,3,0.7190942097023806,0.06460101327811676,2
1.0,0.00933620058139201,3,0.6866859389275035,0.11645250318006455,2
1.0,0.11510104445546264,3,0.6716308808038169,0.037500864056880356,2
0.9,0.12789004939495846,3,0.6712168108050344,0.03767046217140529,2
0.5,0.23020208891092528,3,0.666368251085103,0.04397315556382867,2
1.0,0.174943353127316,3,0.5922198960705486,0.048038111239535615,2
0.9,0.19438150347479552,3,0.5902201433933465,0.04686119761558043,2
0.5,0.349886706254632,3,0.5780790134776379,0.03517736508022347,2
1.0,0.05154535899833902,3,0.8066215230752558,0.050847797939437535,3
0.9,0.05727262110926557,3,0.8035116611351772,0.04806058601403163,3
0.9,0.0376815602910102,3,0.8009970564786911,0.05232625169535634,3
1.0,0.03391340426190918,3,0.8009650239388076,0.052496957377725535,3
1.0,0.022312755425153617,3,0.7926367573473719,0.05198594285595135,3
1.0,0.07834436241636321,3,0.7926283473143086,0.06047029585577788,3
0.9,0.024791950472392906,3,0.7916870541077845,0.04921567368841366,3
0.5,0.06782680852381837,3,0.7884012129153604,0.04490511186010333,3
0.5,0.044625510850307235,3,0.7880146071465456,0.04383481812717469,3
1.0,0.014680303127866964,3,0.7856612052045356,0.04727900813933597,3
0.9,0.08704929157373689,3,0.7845124100799432,0.06264372751257272,3
0.9,0.01631144791985218,3,0.7826735802914847,0.048315454682731206,3
0.5,0.029360606255733928,3,0.7786961573822312,0.042375627429414926,3
1.0,0.009658659175868093,3,0.7752308325740924,0.042953457885772844,3
0.9,0.010731843528742324,3,0.7738032248703403,0.04490620130348149,3
0.5,0.10309071799667804,3,0.7736489544449453,0.048267119017596734,3
0.5,0.019317318351736185,3,0.7657876956917912,0.0434198420079153,3
