gene_id,gene_name,gene_type,Selection_Count,Selection_Frequency,Repeats_Selected,Folds_Selected
ENSG00000168333.14,PPDPFL,protein_coding,1,0.02,1,1
ENSG00000169715.15,MT1E,protein_coding,1,0.02,1,1
ENSG00000171557.17,FGG,protein_coding,1,0.02,1,1
ENSG00000171564.12,FGB,protein_coding,1,0.02,1,1
ENSG00000171747.9,LGALS4,protein_coding,1,0.02,1,1
ENSG00000172346.15,CSDC2,protein_coding,1,0.02,1,1
ENSG00000172927.8,MYEOV,protein_coding,1,0.02,1,1
ENSG00000175164.15,ABO,protein_coding,1,0.02,1,1
ENSG00000183454.18,GRIN2A,protein_coding,1,0.02,1,1
ENSG00000197249.14,SERPINA1,protein_coding,1,0.02,1,1
ENSG00000197444.10,OGDHL,protein_coding,1,0.02,1,1
